temperatura,vibracao,corrente,tensao,rotacao,pressao,ruido,horas_operacao,carga_trabalho,status_maquina
62.61,1.2,11.88,220.25,2898.42,7.39,65.57,537.57,54.19,0
94.59,4.67,20.31,204.9,2705.83,4.61,74.33,1540.03,75.99,1
41.34,2.36,19.33,217.51,2839.38,6.19,71.57,831.36,70.48,0
68.42,3.1,18.08,210.7,2891.58,7.41,62.46,274.4,70.89,0
124.4,6.5,25.95,198.26,2397.68,2.95,97.67,3962.66,87.94,2
123.57,8.68,28.4,186.34,2114.1,2.36,111.44,3039.78,95.81,2
62.38,1.51,20.88,218.81,2771.35,6.62,73.61,952.96,57.31,0
76.08,4.38,21.35,201.53,2777.78,6.14,84.64,1058.52,85.19,1
66.02,1.26,15.45,215.79,2995.52,6.48,61.44,107.79,60.68,0
40.43,1.91,13.62,218.98,2824.31,6.25,73.38,57.77,71.6,0
90.71,4.97,21.81,210.63,2603.71,4.58,76.82,1214.35,76.08,1
44.64,3.09,21.07,217.31,2901.56,7.41,63.15,603.08,53.95,0
60.86,0.77,14.05,211.35,2990.39,7.52,68.27,268.32,72.67,0
74.71,1.09,16.91,223.88,2786.72,7.93,77.05,1061.49,47.51,0
48.31,1.64,15.71,210.67,2992.64,7.29,65.82,382.44,55.7,0
42.49,1.96,18.43,217.7,2968.03,6.22,61.55,1123.88,53.24,0
75.73,4.17,21.88,201.51,2591.87,4.79,87.62,1911.15,87.42,1
72.58,1.24,16.92,214.12,2956.02,5.51,70.17,407.04,51.29,0
40.48,1.41,18.38,221.85,2823.94,6.74,67.58,492.63,48.1,0
46.36,0.97,19.93,210.63,2854.8,5.92,75.83,668.45,48.1,0
48.2,0.56,20.55,224.48,2835.39,6.35,60.13,816.3,68.89,0
48.13,1.34,19.64,223.94,2851.28,7.77,65.79,571.72,47.91,0
47.57,1.83,10.58,222.31,2956.59,6.97,66.36,959.74,59.41,0
74.71,0.99,18.3,220.11,2994.99,7.96,72.36,292.34,67.95,0
51.63,2.58,19.25,219.82,2787.9,7.69,69.7,338.97,54.88,0
70.71,2.72,10.16,213.73,2803.6,6.18,64.46,75.03,56.06,0
45.21,1.42,20.52,224.95,2842.08,6.62,73.0,1063.43,60.76,0
60.97,0.77,10.7,215.58,2930.17,6.89,67.61,678.9,52.79,0
72.82,3.09,20.67,217.02,2914.36,7.74,67.07,1154.11,54.55,0
86.79,3.19,23.22,213.36,2573.62,6.48,87.29,1093.93,86.8,1
61.03,1.52,21.01,216.1,2785.82,7.29,65.28,630.56,64.42,0
121.84,9.02,35.78,202.58,2385.89,3.31,97.91,2792.37,91.52,2
67.67,1.86,13.62,215.76,2963.6,7.37,64.9,141.0,48.82,0
116.31,8.41,28.57,194.49,2266.89,3.53,111.67,3423.26,94.48,2
49.81,0.9,15.28,219.66,2845.24,5.64,70.79,1082.88,53.41,0
94.53,4.98,25.98,203.63,2790.16,4.89,87.32,2193.78,82.81,1
66.99,1.18,21.07,218.89,2844.98,6.75,70.89,671.87,57.02,0
61.69,2.49,20.04,213.23,2780.12,7.63,62.82,1169.71,69.49,0
65.11,3.33,16.33,218.1,2865.26,6.31,68.56,723.37,74.51,0
61.36,2.65,13.27,216.2,2780.47,5.95,72.26,217.73,58.38,0
74.11,0.91,12.78,223.03,2981.62,6.55,60.91,47.27,60.09,0
74.46,3.31,10.52,212.47,2782.93,7.31,74.72,256.21,57.7,0
41.76,0.66,18.3,216.87,2806.63,7.03,64.55,693.16,52.57,0
62.19,2.78,21.83,212.71,2941.51,6.35,63.16,505.65,67.78,0
58.37,2.83,12.81,215.18,2757.53,7.9,72.02,1119.85,49.29,0
70.9,2.48,12.53,222.94,2971.52,5.99,73.27,343.82,68.09,0
68.18,1.61,17.78,220.88,2802.42,7.71,71.09,514.47,46.38,0
72.92,0.64,14.23,222.85,2849.01,6.0,67.65,462.66,72.04,0
41.79,1.71,18.09,216.76,2937.24,6.39,71.43,223.7,66.23,0
67.56,2.12,13.89,212.04,2971.89,6.68,75.81,703.02,63.6,0
53.16,2.77,16.48,211.16,2754.51,5.76,67.39,1119.83,62.31,0
67.19,3.12,12.59,211.26,2870.72,6.79,74.93,532.54,59.98,0
98.45,6.29,30.52,203.16,2353.53,2.16,87.31,3740.39,90.74,2
72.2,2.45,11.09,224.22,2814.64,6.34,67.24,61.47,57.38,0
55.61,1.32,21.97,216.39,2862.85,5.91,74.31,832.42,47.73,0
64.32,3.08,19.36,210.59,2870.13,5.76,64.36,1184.0,44.99,0
40.3,2.78,18.56,215.49,2763.23,7.39,77.19,288.18,51.32,0
73.0,2.45,17.29,217.69,2807.67,5.94,63.97,223.73,67.29,0
70.19,1.04,19.6,218.29,2849.14,5.83,75.58,188.73,50.84,0
82.87,3.43,24.64,212.79,2614.48,5.48,87.66,1399.89,80.71,1
59.29,1.81,20.07,212.41,2756.24,6.62,64.27,59.54,65.36,0
53.87,2.59,14.66,216.73,2809.39,6.43,64.09,87.84,61.12,0
55.68,1.96,12.45,219.4,2839.69,7.99,68.64,583.06,59.8,0
69.93,1.12,10.85,211.04,2985.2,6.77,67.37,973.05,69.25,0
59.34,0.84,11.51,217.94,2817.22,5.55,73.01,38.98,60.83,0
73.16,1.77,10.11,216.64,2761.52,6.86,66.09,568.12,61.46,0
64.59,3.37,16.38,216.0,2988.43,7.11,65.37,151.76,69.49,0
55.3,1.71,11.64,217.6,2781.64,6.69,73.75,309.92,56.83,0
66.47,1.54,17.98,221.93,2981.79,6.09,67.19,182.9,74.74,0
72.09,2.9,15.41,220.78,2896.56,6.73,63.46,556.72,48.6,0
53.43,2.22,17.05,212.77,2840.56,6.34,60.47,29.03,69.11,0
69.46,0.59,20.13,216.9,2804.4,5.83,77.16,87.2,46.97,0
52.66,2.07,18.05,214.04,2819.38,7.83,73.02,692.62,62.67,0
51.98,2.81,16.74,223.24,2881.95,6.79,70.4,899.18,73.76,0
89.81,4.57,25.25,202.28,2664.58,5.2,75.31,1583.36,86.57,1
59.98,1.06,13.34,213.28,2795.71,7.56,65.14,1112.55,73.95,0
60.23,3.37,16.04,211.24,2905.0,6.35,75.41,521.61,46.75,0
60.25,1.82,18.7,217.3,2968.36,7.75,67.59,332.19,60.73,0
55.49,1.96,19.33,215.74,2860.78,6.44,66.61,631.14,68.31,0
50.08,1.98,13.6,218.94,2858.46,5.91,62.1,656.03,71.58,0
92.96,4.02,21.34,207.76,2777.02,6.11,74.92,1831.09,80.29,1
