temperatura,vibracao,corrente,tensao,rotacao,pressao,ruido,horas_operacao,carga_trabalho
64.74,2.87,12.32,213.93,2878.15,6.33,75.49,568.51,67.99
49.42,2.27,17.32,212.31,2948.43,7.46,64.27,346.4,72.83
52.78,3.21,16.04,216.97,2999.38,6.73,63.21,615.68,68.49
42.34,3.33,21.84,211.33,2822.82,6.43,73.98,715.11,62.55
49.33,3.4,11.92,221.81,2996.04,5.55,72.58,303.49,41.42
60.32,2.82,13.99,222.47,2818.64,6.87,63.85,570.63,51.14
49.62,2.65,17.14,214.87,2756.34,7.38,63.87,1001.37,54.71
69.85,3.42,13.2,220.74,2848.56,7.19,68.57,1192.53,65.51
85.76,3.75,20.13,213.33,2606.73,6.36,84.04,1915.18,73.63
73.93,0.62,19.04,217.88,2842.16,5.66,71.2,702.26,49.83
116.51,5.71,35.83,199.11,2388.67,4.61,106.01,2504.25,91.45
74.88,3.41,25.44,203.43,2681.66,5.4,82.11,2052.59,85.62
67.85,1.75,12.75,213.48,2975.35,7.58,69.96,739.33,56.6
53.71,3.25,11.51,216.28,2836.14,6.75,68.24,622.67,44.9
56.52,3.22,14.36,214.31,2875.18,6.64,66.2,832.49,66.58
72.8,2.38,13.86,213.7,2752.25,6.09,62.48,734.6,45.83
70.9,2.93,21.61,217.17,2931.85,6.43,63.32,531.69,45.8
60.02,3.18,15.7,224.18,2803.61,5.69,76.05,1017.22,74.74
89.52,5.1,22.27,212.58,2575.89,6.18,76.14,1099.51,81.55
74.0,0.85,21.5,211.37,2807.76,5.62,72.69,1020.36,55.19
63.39,2.72,15.38,224.06,2934.16,6.64,70.25,831.14,60.73
44.17,2.45,16.81,218.3,2757.96,6.67,76.64,477.11,61.87
55.11,1.86,16.15,220.7,2818.38,5.8,70.01,392.37,55.49
42.63,3.19,19.63,212.09,2944.19,7.06,67.36,304.83,70.09
48.48,1.74,12.79,217.37,2968.12,7.28,70.44,106.8,64.29
60.2,3.12,20.36,215.57,2802.22,7.44,67.8,230.45,71.65
62.64,1.98,17.44,218.16,2934.95,7.26,69.62,814.68,70.57
69.64,2.3,18.18,224.9,2808.08,7.06,68.29,47.34,40.51
71.86,1.41,15.4,218.16,2775.06,7.83,66.74,96.94,53.56
61.52,3.21,21.55,219.8,2959.54,6.81,63.75,629.63,59.43
57.96,1.23,12.21,210.97,2940.66,6.57,71.28,873.11,63.78
43.74,2.96,15.23,211.09,2946.55,6.44,61.81,760.53,70.8
63.42,3.33,19.88,210.63,2867.77,6.49,65.58,541.6,53.45
74.37,0.79,17.07,219.4,2884.52,7.16,62.09,666.02,50.05
71.12,3.31,10.64,217.51,2843.74,7.06,74.28,336.71,59.49
54.13,1.12,17.78,223.07,2937.08,7.67,69.66,902.25,44.9
65.29,0.76,12.64,210.13,2929.03,6.36,74.16,406.72,68.68
60.61,2.87,17.87,219.13,2852.95,6.68,67.46,1010.6,48.05
74.02,2.35,21.78,215.07,2925.76,6.06,64.7,614.28,51.19
48.59,2.61,11.19,223.63,2803.76,6.01,63.27,16.78,67.01
57.05,1.57,13.02,220.42,2942.37,6.11,60.89,1018.5,40.35
56.47,1.66,14.51,219.6,2873.7,7.62,75.74,204.67,44.77
57.29,0.67,21.46,211.93,2924.37,6.77,60.46,1109.7,69.81
56.73,1.17,18.47,212.86,2888.21,6.13,77.2,34.36,46.99
69.21,1.58,17.35,212.29,2766.54,6.04,62.3,374.89,58.0
40.2,1.4,18.99,221.91,2800.62,7.9,69.04,1100.37,64.74
51.03,2.13,11.09,220.18,2931.27,7.91,64.69,22.15,59.1
63.78,3.31,19.92,222.67,2892.29,6.46,76.82,518.54,58.86
86.19,4.26,23.44,202.58,2619.68,4.82,76.74,2167.57,72.76
74.95,3.06,20.14,209.33,2715.42,5.12,78.48,1407.39,82.24
111.44,9.43,34.97,203.11,2304.74,4.84,110.96,2741.25,87.39
117.19,9.73,34.2,190.08,2531.04,4.63,90.82,2326.14,99.63
71.07,3.37,20.41,210.03,2845.06,7.55,66.59,721.86,61.22
61.01,2.04,18.33,210.83,2821.14,7.55,61.44,1026.58,43.22
71.45,5.32,21.56,215.0,2592.88,6.04,77.13,1097.02,85.75
48.2,2.06,12.07,214.58,2830.37,5.9,63.69,946.26,45.85
58.5,2.27,13.58,210.53,2759.31,5.57,73.3,381.61,67.87
40.2,2.45,12.43,223.35,2964.76,5.69,61.91,594.21,61.32
110.56,7.12,31.27,196.95,2336.23,3.94,98.01,2505.68,88.21
71.56,0.88,19.88,216.15,2997.7,6.68,69.97,635.73,51.26
79.1,5.13,25.3,209.16,2641.05,4.92,84.87,1583.69,74.05
58.35,1.19,11.46,215.45,2813.86,6.77,77.4,689.94,71.15
89.5,4.96,23.63,212.87,2647.84,6.28,77.36,1336.26,70.96
44.57,1.02,14.09,216.13,2837.18,7.41,61.75,421.46,69.3
80.88,4.0,24.03,208.75,2737.5,5.52,75.47,2029.95,75.58
74.16,4.97,21.75,206.26,2637.62,6.22,75.77,1678.77,72.56
71.14,5.11,26.38,212.31,2581.99,6.5,77.62,1869.05,86.34
55.13,3.44,11.06,223.83,2870.06,7.06,74.94,432.56,55.06
58.34,2.22,20.24,222.09,2783.05,7.28,67.84,353.58,41.75
45.03,2.07,10.09,214.75,2919.3,6.71,77.61,1048.92,52.57
91.71,5.23,26.2,208.13,2711.6,5.59,74.72,1894.6,79.1
54.1,3.31,10.14,218.82,2875.35,7.68,61.51,817.83,63.8
70.06,1.71,18.43,218.36,2963.24,6.29,69.43,582.45,52.39
55.61,2.19,15.65,210.72,2970.51,6.61,70.6,167.03,40.12
87.62,5.26,23.04,207.32,2781.86,5.54,80.83,1693.99,82.41
55.13,1.74,19.17,218.74,2767.75,7.73,60.55,898.08,66.56
73.34,3.0,20.83,222.22,2864.79,6.13,66.67,24.28,58.34
64.81,0.9,19.77,219.09,2987.38,6.35,61.95,607.8,43.0
54.33,1.62,21.11,222.43,2777.25,5.77,67.7,118.39,61.67
55.79,0.55,15.12,219.09,2889.44,7.13,62.77,775.84,46.39
71.2,1.0,11.79,218.65,2914.37,5.99,67.03,1135.88,48.63
70.71,4.57,26.83,204.97,2579.66,5.64,86.69,1940.87,81.21
70.63,2.34,12.26,214.28,2868.98,7.89,64.45,877.98,55.38
43.3,2.76,10.25,213.74,2972.67,7.3,61.31,985.35,57.26
65.99,1.16,14.42,215.46,2989.86,6.61,73.59,900.97,49.29
73.36,0.66,17.16,216.42,2832.66,5.73,70.13,574.85,43.66
50.42,1.87,10.85,221.98,2810.83,7.31,61.23,1146.12,46.76
64.51,2.14,17.31,211.37,2868.48,5.98,63.75,793.56,71.89
70.75,1.57,13.6,213.21,2759.45,5.61,75.66,814.07,63.12
48.25,3.22,13.71,224.65,2820.32,7.88,60.96,851.13,58.62
61.51,3.05,15.76,223.06,2839.86,7.82,72.58,308.61,59.74
93.21,4.48,24.41,212.68,2624.2,5.21,86.68,2081.16,87.58
75.78,4.27,26.21,210.41,2648.66,5.24,80.38,1212.45,81.41
72.91,2.79,21.67,210.56,2821.28,5.99,60.2,290.79,63.76
62.78,1.93,20.26,217.07,2967.16,6.23,62.32,1026.38,60.56
66.27,1.52,18.52,210.72,2851.97,7.26,64.08,954.34,62.08
82.63,4.31,26.82,213.67,2590.43,5.24,79.94,1432.64,84.37
52.19,1.67,16.14,223.94,2968.57,5.84,63.11,429.17,50.18
68.9,2.59,10.99,216.27,2889.83,5.97,68.07,721.23,51.46
45.87,1.29,10.43,220.57,2873.03,5.74,63.09,123.04,61.44
